Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
01-01-2024,Entertainment,Debit Card,Everybody leave choice.,984.36,49.22
01-01-2024,Healthcare,Debit Card,Lot if wall plant clear.,558.97,0
01-01-2024,Transport,Cash,Certainly live or behavior consumer.,533.21,0
01-01-2024,Healthcare,Credit Card,Receive along today through pay.,1275.64,0
01-01-2024,Dining,Cash,Practice agree assume.,1928.81,0
01-01-2024,Entertainment,Net Banking,Condition store provide television.,1149.72,57.49
01-01-2024,Travel,Net Banking,Positive house agency.,512.14,0
02-01-2024,Subscriptions,Net Banking,Section service fact.,1562.47,0
02-01-2024,Transport,Cash,Sound strong score policy.,977.21,0
02-01-2024,Transport,Net Banking,Network only.,1355.29,0
02-01-2024,Entertainment,Cash,Fall professor manager.,806.32,40.32
02-01-2024,Groceries,Debit Card,Often term.,1137.12,56.86
02-01-2024,Transport,Net Banking,Girl just clear year.,666.25,0
02-01-2024,Subscriptions,Debit Card,Trip glass glass lawyer.,1994.38,0
03-01-2024,Entertainment,UPI,Year brother.,1234.05,0
03-01-2024,Transport,UPI,Mouth collection yourself find decide.,1907.7,0
03-01-2024,Bills,Net Banking,Fire story improve.,1732.18,86.61
03-01-2024,Shopping,Credit Card,All safe answer.,1254.45,62.72
03-01-2024,Rent,Credit Card,Artist strategy different per.,1374.6,68.73
03-01-2024,Entertainment,Cash,Discussion certain garden free effect.,1109.87,0
03-01-2024,Rent,Credit Card,Always government pull on.,696.33,0
03-01-2024,Shopping,Cash,Key occur someone likely notice.,1204.44,0
03-01-2024,Subscriptions,Debit Card,Hard crime nor.,868.96,0
04-01-2024,Dining,Debit Card,Wait safe space.,1387.54,0
04-01-2024,Travel,Debit Card,American region beyond.,856.21,0
04-01-2024,Bills,Credit Card,Attorney serious song some lead.,1768.15,88.41
04-01-2024,Subscriptions,UPI,Nice energy bit.,1659,0
04-01-2024,Subscriptions,Debit Card,Action most.,1554.68,0
04-01-2024,Subscriptions,Cash,Republican travel entire though.,1842.81,0
04-01-2024,Entertainment,Cash,New relationship position.,672.82,0
04-01-2024,Groceries,UPI,Risk idea.,1582.93,0
04-01-2024,Groceries,Credit Card,Tell doctor store.,760.79,0
04-01-2024,Dining,Debit Card,Particular four affect late computer.,1665.08,0
04-01-2024,Bills,Cash,Old investment second under state.,1047.78,0
05-01-2024,Transport,UPI,Structure need mention.,866.42,43.32
05-01-2024,Bills,Debit Card,Mention memory future.,1038.9,0
05-01-2024,Transport,Net Banking,Garden its school must.,662.45,0
05-01-2024,Rent,UPI,Mean go strategy significant person.,1585.35,0
05-01-2024,Subscriptions,Cash,Behavior measure glass.,1421.86,71.09
05-01-2024,Subscriptions,UPI,Behind white.,1677.38,0
05-01-2024,Travel,Debit Card,Reveal nothing protect book.,1625.87,0
05-01-2024,Travel,Net Banking,Site concern.,1571.17,0
06-01-2024,Groceries,UPI,Can lead method.,1431.3,0
06-01-2024,Transport,Credit Card,Between positive why.,1572.73,0
06-01-2024,Dining,UPI,Catch white.,989.97,49.5
06-01-2024,Transport,Debit Card,Day TV.,1461.46,0
06-01-2024,Transport,UPI,Alone north cause light help.,1079.57,0
07-01-2024,Dining,Credit Card,Put cause inside street.,1082.39,54.12
07-01-2024,Travel,Cash,Article avoid.,1097.17,54.86
07-01-2024,Transport,Debit Card,Scientist section probably teach.,1450.85,72.54
07-01-2024,Subscriptions,UPI,Well accept my.,1732,0
08-01-2024,Bills,Net Banking,Part they candidate side.,1555.05,0
08-01-2024,Rent,Debit Card,Me assume west.,771.04,0
08-01-2024,Shopping,Net Banking,Catch unit individual represent meeting.,876.49,0
08-01-2024,Transport,Credit Card,Hour music ability information.,1971.51,0
08-01-2024,Bills,Debit Card,Player increase head participant.,660.92,0
08-01-2024,Healthcare,Debit Card,Cultural some measure however.,1759.65,0
08-01-2024,Entertainment,Debit Card,End lawyer over.,813.51,0
08-01-2024,Entertainment,Credit Card,Necessary medical few not cold.,1266,0
08-01-2024,Dining,Net Banking,Daughter heart sell.,1680.68,0
08-01-2024,Bills,Net Banking,Always should book.,1254.22,0
09-01-2024,Transport,Cash,Feeling performance traditional.,1744.96,0
09-01-2024,Subscriptions,UPI,Clearly like.,1991.28,0
09-01-2024,Healthcare,Net Banking,Smile about.,1204.74,0
09-01-2024,Entertainment,Cash,Indicate perhaps employee style.,1125.76,0
09-01-2024,Groceries,Net Banking,Material if fear detail popular.,646.03,0
09-01-2024,Entertainment,Debit Card,However pay various summer shake.,584.68,0
09-01-2024,Entertainment,Debit Card,Relationship over kid shoulder.,1392.4,0
09-01-2024,Healthcare,Cash,Pass run.,841.01,0
10-01-2024,Entertainment,Net Banking,Candidate teach reflect.,1034.23,0
10-01-2024,Groceries,Net Banking,Very remember.,1528.22,0
10-01-2024,Travel,Debit Card,Start language car.,1565.44,0
10-01-2024,Entertainment,Credit Card,Feeling message.,1057.94,0
10-01-2024,Travel,Net Banking,Room size.,674.96,0
10-01-2024,Bills,UPI,Conference defense.,1617.19,0
10-01-2024,Entertainment,Debit Card,Son play.,639.81,0
10-01-2024,Rent,UPI,Democrat single music suggest.,1709.38,0
10-01-2024,Rent,Debit Card,Side against series.,1717.82,0
10-01-2024,Bills,Credit Card,Bill care.,627.84,0
10-01-2024,Travel,Net Banking,Teach no nor.,1143.56,0
11-01-2024,Shopping,Debit Card,Event catch improve sit.,632.94,0
11-01-2024,Dining,Debit Card,Including enter.,841.37,0
12-01-2024,Entertainment,Cash,Case capital process middle.,505.82,0
12-01-2024,Transport,UPI,Not act budget.,1712.79,0
12-01-2024,Dining,Credit Card,Above education wind.,1413.43,0
12-01-2024,Dining,Net Banking,What operation top relationship.,1520.36,0
12-01-2024,Subscriptions,UPI,Field part.,1911.34,0
12-01-2024,Subscriptions,Credit Card,Why staff so tree recently.,756.85,0
12-01-2024,Bills,Net Banking,World according ago happen out.,1862.65,0
12-01-2024,Rent,Cash,End idea ability imagine western.,1223.54,0
12-01-2024,Travel,Net Banking,Traditional why field.,1746.17,0
12-01-2024,Rent,Credit Card,Leg anything know.,668.16,33.41
13-01-2024,Subscriptions,Cash,Indeed degree seat.,1218.45,0
13-01-2024,Dining,UPI,Cut bit.,1545.91,0
13-01-2024,Transport,Cash,Idea political.,1912.74,0
13-01-2024,Subscriptions,Cash,Pull land.,1915.31,0
13-01-2024,Entertainment,UPI,Interview food growth five drive.,990.1,0
14-01-2024,Entertainment,Debit Card,Task whatever of similar.,1533.03,0
14-01-2024,Dining,Cash,Lose reality.,1243.87,0
14-01-2024,Rent,Net Banking,Car gun long.,1211.64,0
14-01-2024,Healthcare,Credit Card,Campaign team not.,1119.81,0
14-01-2024,Dining,Cash,Technology ready wear.,1566.87,0
15-01-2024,Groceries,Credit Card,Ahead use performance sign.,584.29,0
15-01-2024,Transport,Net Banking,Network probably international better.,1962.94,0
15-01-2024,Rent,Cash,Sell whether.,734.84,36.74
15-01-2024,Healthcare,Net Banking,Not today.,625.51,31.28
15-01-2024,Groceries,Cash,Start traditional church.,1419.95,0
15-01-2024,Shopping,Credit Card,Season better imagine start sport.,713.7,0
15-01-2024,Dining,Cash,Wrong worry trial space line.,1134.6,0
15-01-2024,Rent,Debit Card,What let real.,624.49,0
15-01-2024,Healthcare,Debit Card,Whose sit character toward.,1851.97,0
15-01-2024,Subscriptions,UPI,Message certain easy.,837.62,0
16-01-2024,Transport,Credit Card,Case better.,1926.07,96.3
16-01-2024,Bills,Cash,Happy trouble executive program.,1584.09,0
16-01-2024,Rent,Net Banking,Speech animal successful.,610.19,30.51
16-01-2024,Transport,UPI,Yard specific response receive.,819.53,0
16-01-2024,Travel,Debit Card,Right imagine different picture.,1024.8,0
16-01-2024,Travel,Cash,There far what.,505.18,0
16-01-2024,Healthcare,Credit Card,May staff.,1081.09,0
16-01-2024,Bills,Credit Card,Whom speech son safe.,670.25,33.51
17-01-2024,Dining,Cash,News allow rest truth.,1505.61,75.28
17-01-2024,Healthcare,UPI,Sister very even.,715.02,0
17-01-2024,Entertainment,Debit Card,Majority care heart include thus.,1674.51,0
17-01-2024,Healthcare,UPI,Edge collection.,808.41,0
17-01-2024,Rent,Cash,Event very suddenly support politics.,608.2,0
17-01-2024,Travel,Cash,Natural some organization.,1898.18,0
17-01-2024,Subscriptions,Debit Card,Yourself get set study information.,602.02,0
17-01-2024,Entertainment,UPI,Discussion nature threat nearly be.,566.47,0
17-01-2024,Healthcare,Net Banking,Now animal impact lawyer herself.,1148.98,0
18-01-2024,Rent,Cash,New book today.,970.71,0
18-01-2024,Shopping,Debit Card,Adult low fight.,1151.79,0
18-01-2024,Subscriptions,Cash,Any share no their.,1929.11,0
18-01-2024,Bills,Debit Card,Easy somebody morning blue leg.,1663.44,0
18-01-2024,Travel,Cash,Project century.,1292.37,64.62
18-01-2024,Entertainment,Cash,Second hour everybody.,1043.33,52.17
18-01-2024,Transport,Debit Card,Alone crime speak south.,613.33,0
19-01-2024,Transport,Net Banking,Mention challenge include.,791.42,0
19-01-2024,Groceries,Net Banking,Everything if.,1426.62,0
19-01-2024,Transport,Cash,Recognize send too.,1038.4,51.92
19-01-2024,Dining,Credit Card,Use true.,1247.11,0
19-01-2024,Travel,Debit Card,Resource strong about market others.,538.85,0
19-01-2024,Transport,Net Banking,Mr deep together.,1818.48,90.92
20-01-2024,Shopping,Credit Card,Focus almost then.,527.15,0
20-01-2024,Healthcare,Net Banking,Effect stay be hand.,1447.86,0
20-01-2024,Entertainment,Cash,Half economic risk offer.,505.86,0
20-01-2024,Entertainment,Credit Card,Attorney between often station.,648.96,32.45
20-01-2024,Dining,Net Banking,Power hear nor.,1253.16,62.66
20-01-2024,Subscriptions,Credit Card,Firm want.,599.11,0
20-01-2024,Travel,Net Banking,Child power involve take.,792.43,0
20-01-2024,Rent,UPI,Soon else development.,534.79,0
20-01-2024,Rent,Cash,High information pass actually board.,1599.11,79.96
21-01-2024,Transport,Debit Card,Ago they so strong.,727.76,0
21-01-2024,Transport,Cash,He interesting cover conference.,610.17,0
21-01-2024,Entertainment,Debit Card,Student capital two.,1681.11,0
21-01-2024,Groceries,UPI,Benefit than remember rate.,1052.11,0
21-01-2024,Subscriptions,Debit Card,Space throughout father space.,1944.21,0
21-01-2024,Entertainment,Credit Card,Pretty step pattern race behavior.,917.74,0
22-01-2024,Subscriptions,UPI,Bag my as region however.,1013.58,0
22-01-2024,Transport,Credit Card,History specific behind yeah.,1953.41,0
22-01-2024,Entertainment,Debit Card,Drive door resource.,1626.48,0
22-01-2024,Transport,Net Banking,Support box.,880.49,44.02
22-01-2024,Travel,UPI,Successful indeed future.,1058.87,0
22-01-2024,Transport,Net Banking,Term here speak.,944.69,0
22-01-2024,Bills,UPI,Debate region herself.,1048.01,0
23-01-2024,Bills,UPI,Third rather everybody from.,648.35,0
23-01-2024,Dining,Net Banking,Weight fast rise those.,1253.42,62.67
23-01-2024,Groceries,Net Banking,Yard maintain.,758.48,0
23-01-2024,Transport,Net Banking,Road town.,1727.37,0
23-01-2024,Dining,Debit Card,Expert attack.,562.2,0
23-01-2024,Dining,Credit Card,Above seem.,1492.12,0
23-01-2024,Groceries,Credit Card,Identify thought identify.,1552,0
23-01-2024,Rent,Cash,Want stay college.,509.64,0
23-01-2024,Entertainment,Credit Card,Sure pattern listen purpose.,1922.77,0
24-01-2024,Dining,Net Banking,Travel this three.,1749.2,87.46
24-01-2024,Entertainment,Debit Card,Number reality action partner call.,1313.94,0
24-01-2024,Shopping,UPI,Again look church early.,1812.67,90.63
24-01-2024,Entertainment,Credit Card,Garden teacher speech why.,505.11,0
24-01-2024,Bills,Debit Card,Most idea improve record.,1436.75,0
24-01-2024,Shopping,Debit Card,Add around reach.,1034.72,0
24-01-2024,Healthcare,Cash,Floor commercial fall let.,1785.12,0
24-01-2024,Shopping,UPI,Beautiful tax player question.,1295.8,64.79
25-01-2024,Healthcare,UPI,Blue standard.,735.93,0
25-01-2024,Travel,Debit Card,Poor good.,1402.14,70.11
25-01-2024,Healthcare,Credit Card,Some author chance enjoy know.,1300.71,0
25-01-2024,Shopping,Net Banking,They lose example building.,1548.33,0
25-01-2024,Entertainment,Credit Card,Tough probably create already.,681.7,34.09
25-01-2024,Transport,Debit Card,Else only wide lot.,1395.48,69.77
26-01-2024,Dining,Net Banking,Form effect.,1210.03,0
26-01-2024,Dining,Cash,Foreign blood movie.,535.71,0
26-01-2024,Shopping,Debit Card,Member manage.,723.05,0
26-01-2024,Groceries,Debit Card,That news employee yeah.,1522.6,0
26-01-2024,Groceries,Net Banking,Certain nature.,645.36,0
26-01-2024,Groceries,Cash,Field certainly wife.,687.97,0
27-01-2024,Shopping,Net Banking,Within our dog ask.,1038.07,0
27-01-2024,Rent,Net Banking,Well conference pay.,1135.15,0
27-01-2024,Transport,Credit Card,Spring agency station international.,1271.56,0
27-01-2024,Bills,UPI,Gun agent recent decade.,1262.79,63.14
27-01-2024,Groceries,Net Banking,Might also themselves until.,737.39,0
27-01-2024,Groceries,Net Banking,Amount particular image turn.,1474.18,0
27-01-2024,Rent,Credit Card,Any whatever or tonight.,573.86,0
01-02-2024,Groceries,Debit Card,Ahead wall turn owner.,807.46,0
01-02-2024,Bills,Credit Card,By coach own accept I.,1447.57,0
01-02-2024,Travel,UPI,His learn smile country popular.,781.67,0
01-02-2024,Entertainment,Net Banking,Down serve today nature.,777.52,0
01-02-2024,Travel,Net Banking,Pattern be author base.,697.3,0
01-02-2024,Entertainment,Credit Card,Group sit.,1790.3,0
01-02-2024,Shopping,Cash,Project again computer order.,1595.83,0
01-02-2024,Subscriptions,Cash,Discuss moment stage letter believe.,795.18,0
01-02-2024,Shopping,Credit Card,Culture million need.,1293.92,0
01-02-2024,Groceries,Cash,Unit just east senior.,1711.18,0
02-02-2024,Shopping,Credit Card,Property seek ten.,1049.02,0
02-02-2024,Entertainment,Net Banking,Require inside move.,1821.81,0
02-02-2024,Travel,Credit Card,Threat four through hour.,1301.16,0
03-02-2024,Subscriptions,Cash,Radio community consumer.,1700.31,0
03-02-2024,Healthcare,UPI,School culture my.,1218.64,60.93
03-02-2024,Subscriptions,Net Banking,With sort.,1912.74,95.64
03-02-2024,Healthcare,Net Banking,Fine these.,1520.07,0
03-02-2024,Subscriptions,Cash,Safe social employee.,1074.75,0
03-02-2024,Healthcare,Debit Card,Baby poor her know idea.,1347.13,0
03-02-2024,Healthcare,Cash,Task term.,1901.39,0
03-02-2024,Subscriptions,Debit Card,Camera series institution star water.,845.42,0
03-02-2024,Groceries,Credit Card,Million concern look.,1895.75,0
03-02-2024,Subscriptions,Cash,Right material age health detail.,1149.86,0
04-02-2024,Groceries,Credit Card,Small off.,1076.76,0
04-02-2024,Transport,Debit Card,Majority sing future program.,1500.5,0
04-02-2024,Shopping,Cash,Democrat remember force fire ten.,1164.93,0
04-02-2024,Travel,Cash,Government offer between skill.,953.06,0
04-02-2024,Bills,Cash,Sometimes speech.,809.08,0
05-02-2024,Travel,Credit Card,Specific minute pass design.,1828.12,0
05-02-2024,Entertainment,Debit Card,Behind buy marriage window.,1985.88,0
05-02-2024,Groceries,UPI,Get blue TV.,699.14,34.96
05-02-2024,Travel,Debit Card,Ok yourself already their.,688.68,0
05-02-2024,Healthcare,Credit Card,Approach position keep.,1048.94,0
05-02-2024,Dining,UPI,Center traditional face simply.,1614.13,0
05-02-2024,Travel,Net Banking,Instead author politics.,1558.26,0
